step,battery,demand,renewable,price_level,period,action,reward,grid_bought,sold,demand_covered,unmet_demand,wasted_renewable,invalid_action,risk_score,risk_level,risk_level_name
58,0,2,3,0,1,2,2.5,0,0,2,0,0,0,50.0,1,medium
59,1,1,2,0,1,2,0.9534482758620686,0,0,1,0,0,0,34.88505747126438,1,medium
60,2,2,3,0,2,3,3.9243589743589737,0,1,2,0,0,0,29.18803418803421,0,low
61,2,3,3,0,2,4,5.124358974358974,0,0,3,0,0,0,29.18803418803421,0,low
62,2,3,3,0,2,4,5.124358974358974,0,0,3,0,0,0,29.18803418803421,0,low
63,2,3,3,0,2,4,5.124358974358974,0,0,3,0,0,0,29.18803418803421,0,low
64,2,3,2,1,2,1,2.9000000000000004,1,0,3,0,0,0,49.99999999999999,1,medium
65,2,2,2,1,2,4,2.5,0,0,2,0,0,0,49.99999999999999,1,medium
66,2,3,1,2,3,0,3.875641025641026,0,0,3,0,0,0,70.8119658119658,2,high
67,0,3,0,2,3,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
68,0,2,0,2,3,1,-2.9243589743589746,2,0,2,0,0,0,70.8119658119658,2,high
69,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
70,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
71,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
72,0,2,0,1,0,1,-1.324358974358974,2,0,2,0,0,0,70.8119658119658,2,high
73,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
74,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
75,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
76,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
77,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
78,0,2,0,1,1,1,-1.324358974358974,2,0,2,0,0,0,70.8119658119658,2,high
79,0,2,2,1,1,4,1.875641025641026,0,0,2,0,0,0,70.8119658119658,2,high
80,0,2,1,1,1,1,0.275641025641026,1,0,2,0,0,0,70.8119658119658,2,high
81,0,2,3,0,1,3,3.3,0,1,2,0,0,0,50.0,1,medium
82,0,1,3,0,1,3,2.724358974358974,0,2,1,0,0,0,29.18803418803421,0,low
83,0,2,3,0,1,2,2.5,0,0,2,0,0,0,50.0,1,medium
84,1,3,3,0,2,4,4.5,0,0,3,0,0,0,50.0,1,medium
85,1,3,3,0,2,4,4.5,0,0,3,0,0,0,50.0,1,medium
86,1,3,3,0,2,4,4.5,0,0,3,0,0,0,50.0,1,medium
87,1,2,3,0,2,2,3.124358974358974,0,0,2,0,0,0,29.18803418803421,0,low
88,2,3,2,1,2,1,2.9000000000000004,1,0,3,0,0,0,49.99999999999999,1,medium
89,2,3,2,1,2,1,2.9000000000000004,1,0,3,0,0,0,49.99999999999999,1,medium
90,2,3,1,2,3,0,3.875641025641026,0,0,3,0,0,0,70.8119658119658,2,high
91,0,3,0,2,3,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
92,0,3,0,2,3,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
93,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
94,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
95,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
96,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
97,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
98,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
99,0,2,0,1,0,1,-1.324358974358974,2,0,2,0,0,0,70.8119658119658,2,high
100,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
101,0,1,1,1,0,4,0.5000000000000002,0,0,1,0,0,0,49.99999999999999,1,medium
102,0,2,1,1,1,1,0.275641025641026,1,0,2,0,0,0,70.8119658119658,2,high
103,0,2,1,1,1,1,0.275641025641026,1,0,2,0,0,0,70.8119658119658,2,high
104,0,2,1,1,1,1,0.275641025641026,1,0,2,0,0,0,70.8119658119658,2,high
105,0,2,2,0,1,4,1.875641025641026,0,0,2,0,0,0,70.8119658119658,2,high
106,0,2,3,0,1,2,2.5,0,0,2,0,0,0,50.0,1,medium
107,1,2,3,0,1,2,3.124358974358974,0,0,2,0,0,0,29.18803418803421,0,low
108,2,3,3,0,2,4,5.124358974358974,0,0,3,0,0,0,29.18803418803421,0,low
109,2,3,3,0,2,4,5.124358974358974,0,0,3,0,0,0,29.18803418803421,0,low
110,2,3,3,0,2,4,5.124358974358974,0,0,3,0,0,0,29.18803418803421,0,low
111,2,3,3,0,2,4,5.124358974358974,0,0,3,0,0,0,29.18803418803421,0,low
112,2,3,2,1,2,1,2.9000000000000004,1,0,3,0,0,0,49.99999999999999,1,medium
113,2,3,2,1,2,1,2.9000000000000004,1,0,3,0,0,0,49.99999999999999,1,medium
114,2,3,1,2,3,0,3.875641025641026,0,0,3,0,0,0,70.8119658119658,2,high
115,0,3,0,2,3,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
116,0,3,0,2,3,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
117,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
118,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
119,0,2,0,1,3,1,-1.324358974358974,2,0,2,0,0,0,70.8119658119658,2,high
120,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
