step,battery,demand,renewable,price_level,period,action,reward,grid_bought,sold,demand_covered,unmet_demand,wasted_renewable,invalid_action,risk_score,risk_level,risk_level_name
71,0,0,0,1,3,4,-1.7249999999999996,0,0,0,0,0,0,57.49999999999999,1,medium
72,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
73,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
74,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
75,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
76,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
77,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
78,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
79,0,2,0,1,1,1,-1.9,2,0,2,0,0,0,90.0,2,high
80,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
81,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
82,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
83,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
84,0,2,3,0,2,2,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
85,1,2,3,0,2,2,2.5,0,0,2,0,0,0,50.0,1,medium
86,2,1,3,0,2,2,1.55,0,0,1,0,0,0,15.0,0,low
87,4,2,3,0,2,3,4.35,0,1,2,0,0,0,15.0,0,low
88,4,3,1,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
89,2,3,1,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
90,0,3,1,2,3,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
91,0,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
92,0,3,1,2,3,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
93,0,0,0,1,3,4,-1.7249999999999996,0,0,0,0,0,0,57.49999999999999,1,medium
94,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
95,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
96,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
97,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
98,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
99,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
100,0,1,1,1,0,4,0.17500000000000027,0,0,1,0,0,0,60.83333333333333,1,medium
101,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
102,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
103,0,1,1,1,1,4,0.17500000000000027,0,0,1,0,0,0,60.83333333333333,1,medium
104,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
105,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
106,0,3,3,0,1,4,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
107,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
108,0,2,2,0,2,4,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
109,0,2,3,0,2,2,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
110,1,2,3,0,2,2,2.5,0,0,2,0,0,0,50.0,1,medium
111,2,2,3,0,2,2,3.55,0,0,2,0,0,0,15.0,0,low
112,3,3,1,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
113,1,3,1,2,2,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
114,1,3,1,2,3,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
115,1,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
116,1,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
117,1,1,1,1,3,4,0.36250000000000027,0,0,1,0,0,0,54.58333333333333,1,medium
118,1,1,0,1,3,0,-0.07500000000000018,0,0,1,0,0,0,69.16666666666667,2,high
119,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
120,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
121,0,0,0,1,0,4,-1.7249999999999996,0,0,0,0,0,0,57.49999999999999,1,medium
