step,battery,demand,renewable,price_level,period,action,reward,grid_bought,sold,demand_covered,unmet_demand,wasted_renewable,invalid_action,risk_score,risk_level,risk_level_name
0,2,2,0,1,0,0,1.875641025641026,0,0,2,0,0,0,70.8119658119658,2,high
1,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
2,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
3,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
4,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
5,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
6,0,2,1,1,1,1,0.275641025641026,1,0,2,0,0,0,70.8119658119658,2,high
7,0,3,0,2,1,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
8,0,3,2,2,1,1,1.4756410256410257,1,0,3,0,0,0,70.8119658119658,2,high
9,0,3,3,2,1,4,3.875641025641026,0,0,3,0,0,0,70.8119658119658,2,high
10,0,2,3,0,1,3,3.3,0,1,2,0,0,0,50.0,1,medium
11,0,2,3,0,1,3,3.3,0,1,2,0,0,0,50.0,1,medium
12,0,2,3,0,2,2,2.5,0,0,2,0,0,0,50.0,1,medium
13,1,2,1,0,2,0,1.875641025641026,0,0,2,0,0,0,70.8119658119658,2,high
14,0,2,3,0,2,2,2.5,0,0,2,0,0,0,50.0,1,medium
15,1,2,3,0,2,2,3.124358974358974,0,0,2,0,0,0,29.18803418803421,0,low
16,2,3,1,2,2,0,3.875641025641026,0,0,3,0,0,0,70.8119658119658,2,high
17,0,3,1,2,2,1,-0.9243589743589746,2,0,3,0,0,0,70.8119658119658,2,high
18,0,3,1,2,3,1,-0.9243589743589746,2,0,3,0,0,0,70.8119658119658,2,high
19,0,3,0,2,3,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
20,0,3,0,2,3,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
21,0,2,0,2,3,1,-2.9243589743589746,2,0,2,0,0,0,70.8119658119658,2,high
22,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
23,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
24,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
25,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
26,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
