scenario,avg_reward,avg_coverage,avg_unmet_demand,avg_grid_bought,avg_sold,avg_wasted_renewable,avg_battery_end,avg_risk_score,invalid_action_rate
baseline_v3,-169.96250000000015,0.9389067524115756,19.0,129.0,19.0,4.0,0.0,76.89732142857139,0.10714285714285714
winter_peak,-463.1124999999992,0.9447368421052632,21.0,256.0,3.0,2.0,0.0,88.01835317460318,0.125
summer_surplus,4.687499999999989,0.9700598802395209,10.0,128.0,5.0,0.0,0.0,68.35565476190472,0.047619047619047616
grid_stress,-172.97500000000016,0.9446153846153846,18.0,139.0,8.0,10.0,0.0,74.32043650793646,0.10714285714285714
renewable_volatility,-10.374999999999996,0.9739413680781759,8.0,101.0,9.0,10.0,0.0,65.25297619047619,0.13690476190476192
