scenario,avg_reward,avg_coverage,avg_unmet_demand,avg_grid_bought,avg_sold,avg_wasted_renewable,avg_battery_end,avg_risk_score,invalid_action_rate
baseline_v3,-59.33076923076913,0.9389067524115756,19.0,129.0,20.0,3.0,0.0,55.50213675213672,0.10119047619047619
winter_peak,-384.81273209549107,0.9368421052631579,24.0,254.0,4.0,2.0,0.0,69.4271293840257,0.125
summer_surplus,43.35769230769228,0.9670658682634731,11.0,130.0,5.0,3.0,0.0,53.857600732600694,0.125
grid_stress,-68.51233421750658,0.9538461538461539,15.0,143.0,8.0,11.0,0.0,55.73657424950524,0.10119047619047619
renewable_volatility,48.9842175066313,0.9706840390879479,9.0,105.0,15.0,9.0,0.0,51.55075049471599,0.13690476190476192
