iteration,scenario,swarmsize,omega,phip,phig,maxiter,episodes,objective_minimum,fitness_best,x_optimum,demand_covered,unmet_demand,grid_bought,sold,invalid_action,wasted_renewable,risk,avg_reward,avg_coverage,avg_unmet_demand,avg_grid_bought,avg_sold,avg_wasted_renewable,avg_battery_end,avg_risk_score,invalid_action_rate
4,baseline_v3,5,0.5,1.5,1.5,5,250,-1027.7971153355397,1027.7971153355397,"[4.0, -2.0, -0.2, 2.0, -0.5, -0.1, -0.005]",4.0,-2.0,-0.2,2.0,-0.5,-0.1,-0.005,1053.5564102564103,0.932475884244373,21.0,146.0,36.0,6.0,0.0,57.432844932844894,0.16666666666666666
5,baseline_v3,5,0.7,1.0,1.0,5,250,-936.0550289544492,936.0550289544492,"[4.0, -2.0, -0.2160516395906045, 0.1, -0.940538678991041, -2.0, -0.005]",4.0,-2.0,-0.2160516395906045,0.1,-0.940538678991041,-2.0,-0.005,961.8143238753197,0.932475884244373,21.0,146.0,39.0,3.0,0.0,57.432844932844894,0.16666666666666666
8,baseline_v3,5,0.7,1.5,1.5,5,250,-876.3657322765454,876.3657322765454,"[4.0, -2.0, -0.2, 0.1, -3.8264911426681913, -0.8476701247220099, -0.005]",4.0,-2.0,-0.2,0.1,-3.8264911426681913,-0.8476701247220099,-0.005,901.8869319593207,0.932475884244373,21.0,146.0,35.0,7.0,0.0,57.432844932844894,0.14285714285714285
6,baseline_v3,5,0.7,1.0,1.5,5,250,-870.7312407358776,870.7312407358776,"[4.0, -4.269911591019694, -0.2, 0.1, -0.9542473382809851, -0.1, -0.00793226281611278]",4.0,-4.269911591019694,-0.2,0.1,-0.9542473382809851,-0.1,-0.00793226281611278,896.4310118472243,0.932475884244373,21.0,146.0,31.0,11.0,0.0,57.432844932844894,0.16071428571428573
7,baseline_v3,5,0.7,1.5,1.0,5,250,-853.784602010234,853.784602010234,"[4.0, -6.385868374652568, -0.2, 1.9636316338773647, -3.404929576715503, -0.1, -0.005]",4.0,-6.385868374652568,-0.2,1.9636316338773647,-3.404929576715503,-0.1,-0.005,879.424849312057,0.932475884244373,21.0,146.0,33.0,9.0,0.0,57.432844932844894,0.15476190476190477
1,baseline_v3,5,0.5,1.0,1.0,5,250,-852.2375364496564,852.2375364496564,"[4.0, -8.0, -0.2, 1.972024089383208, -2.3380756363463826, -2.0, -0.005]",4.0,-8.0,-0.2,1.972024089383208,-2.3380756363463826,-2.0,-0.005,877.9373075610032,0.932475884244373,21.0,146.0,39.0,3.0,0.0,57.432844932844894,0.16071428571428573
3,baseline_v3,5,0.5,1.5,1.0,5,250,-745.646202798622,745.646202798622,"[4.0, -4.1571462608767344, -0.6839411487547575, 1.5426193969929225, -1.6292007480562853, -1.598075184224074, -0.005]",4.0,-4.1571462608767344,-0.6839411487547575,1.5426193969929225,-1.6292007480562853,-1.598075184224074,-0.005,771.4650215290163,0.932475884244373,21.0,146.0,36.0,6.0,0.0,57.432844932844894,0.17261904761904762
2,baseline_v3,5,0.5,1.0,1.5,5,250,-288.86279652197567,288.86279652197567,"[1.9678499360612398, -6.895150129137024, -0.2, 0.8318285776133766, -0.5, -1.0795873287625408, -0.005]",1.9678499360612398,-6.895150129137024,-0.2,0.8318285776133766,-0.5,-1.0795873287625408,-0.005,314.5030438237985,0.932475884244373,21.0,146.0,36.0,6.0,0.0,57.432844932844894,0.15476190476190477
